name,category,calories,protein,fat,carbs
"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",Snack,307,5.88,13.2,41.2
"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",Snack,330,4.34,11.3,53.4
"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",Snack,377,6.1,3.7,79.8
"George Weston Bakeries, Thomas English Muffins",Snack,232,8,1.8,46
"Waffles, buttermilk, frozen, ready-to-heat",Snack,273,6.58,9.22,41
"Waffle, buttermilk, frozen, ready-to-heat, toasted",Snack,1290,7.42,9.49,48.4
"Waffle, buttermilk, frozen, ready-to-heat, microwaved",Snack,289,6.92,9.4,44.2
"Waffle, plain, frozen, ready-to-heat, microwave",Snack,1240,6.71,9.91,45.4
"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",Snack,2100,5.1,24.8,64.3
"Pie Crust, Cookie-type, Chocolate, Ready Crust",Snack,2020,6.08,22.4,64.5
"Pie, Dutch Apple, Commercially Prepared",Snack,290,2.17,11.5,44.5
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",Snack,1960,5.52,28.7,46.8
"Waffles, chocolate chip, frozen, ready-to-heat",Snack,1240,5.8,10.1,45.7
"Tostada shells, corn",Snack,1980,6.15,23.4,64.4
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",Snack,374,7.12,17.1,47.8
"Bread, pound cake type, pan de torta salvadoran",Snack,390,7.06,17.4,51.3
"Pastry, Pastelitos de Guava (guava pastries)",Snack,1590,5.48,18.5,47.8
"Crackers, snack, Goya Crackers",Snack,433,14.2,13.4,64.4
"Crackers, cream, Gamesa Sabrosas",Snack,2020,7.01,20.4,64.6
"Crackers, cream, La Moderna Rikis Cream Crackers",Snack,464,7.19,19.5,64.9
"Bread, white wheat",Snack,994,10.7,2.15,43.9
"Bagels, wheat",Snack,250,10.2,1.53,48.9
"Cream puff, eclair, custard or cream filled, iced",Snack,334,4.41,18.5,37.4
"Tortillas, ready-to-bake or -fry, flour, shelf stable",Snack,1240,8.01,7.58,49.3
"Snacks, beef jerky, chopped and formed",Lunch,1720,33.2,25.6,11
"Snacks, corn-based, extruded, chips, plain",Snack,2260,6.17,33.4,57.3
"Snacks, corn-based, extruded, chips, barbecue-flavor",Snack,523,7,32.7,56.2
"Snacks, corn-based, extruded, cones, plain",Snack,510,5.8,26.9,62.9
"Snacks, fruit leather, pieces",Snack,359,1,2.68,82.8
"Snacks, fruit leather, rolls",Snack,1550,0.1,3,85.8
"Snacks, granola bars, hard, plain",Snack,471,10.1,19.8,64.4
"Snacks, granola bars, hard, almond",Snack,495,7.7,25.5,62
"Snacks, granola bars, soft, uncoated, raisin",Snack,448,7.6,17.8,66.4
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",Snack,466,5.8,24.9,63.8
"Candies, honey-combed, with peanut butter",Snack,473,8.72,20.2,67.4
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",Snack,508,10.2,31.1,53.4
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",Snack,432,9.8,20,62.2
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",Snack,2440,7.29,43.6,45.1
"Snacks, popcorn, cakes",Snack,384,9.7,3.1,80.1
"Snacks, popcorn, caramel-coated, with peanuts",Snack,400,6.4,7.8,80.7
"Snacks, popcorn, caramel-coated, without peanuts",Snack,431,3.8,12.8,79.1
"Snacks, potato chips, made from dried potatoes, reduced fat",Snack,502,4.56,26.1,64.8
"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",Snack,547,6.6,37,51.3
"Snacks, pretzels, hard, plain, salted",Snack,1610,10,2.93,80.4
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",Snack,1910,7.5,16.7,70.9
"Snacks, rice cakes, brown rice, sesame seed",Snack,392,7.6,3.8,81.5
"Snacks, tortilla chips, plain, white corn, salted",Snack,1980,7.1,20.7,67.8
"Snacks, tortilla chips, nacho cheese",Snack,2170,7.36,27.4,60.8
"Snacks, tortilla chips, ranch-flavor",Snack,2100,7.19,24.6,62.7
"Snacks, trail mix, regular",Snack,462,13.8,29.4,44.9
"Candies, ALMOND JOY Candy Bar",Snack,2000,4.13,26.9,59.5
"Candies, TWIZZLERS CHERRY BITES",Snack,338,2.97,1.7,79.4
"Candies, NESTLE, BIT-O'-HONEY Candy Chews",Snack,1620,2,7.5,80.9
"Candies, NESTLE, BUTTERFINGER Bar",Snack,459,5.4,18.9,72.9
"Candies, caramels, chocolate-flavor roll",Snack,1620,1.59,3.31,87.7
"Baking chocolate, unsweetened, liquid",Snack,1980,12.1,47.7,36.2
"Baking chocolate, unsweetened, squares",Snack,642,14.3,52.3,28.4
"Candies, confectioner's coating, yogurt",Snack,522,5.87,27,63.9
